ID,Dom,Categoria,Classe,Reverse_Scored,Peso,Ativa,Texto
1,A_PROPHECY,QUALITY,P1,false,1,true,"Quando exponho a Palavra, busco chamar o pecado pelo nome e apontar o caminho da verdade."
2,A_PROPHECY,QUALITY,P1,false,1,true,"Sinto-me incumbido de proclamar a vontade de Deus ainda que isso me torne impopular."
3,A_PROPHECY,QUALITY,P1,false,1,true,"Valido minhas convicções pela Escritura antes de exortá‑las aos outros."
4,A_PROPHECY,QUALITY,P1,false,1,true,"Anseio que pessoas tomem decisões claras diante da verdade apresentada."
5,A_PROPHECY,QUALITY,P2,false,1,true,"Busco comunicar a mensagem com franqueza e precisão, evitando ambiguidades."
6,A_PROPHECY,CHARACTERISTIC,P2,false,1,true,"Costumo discernir motivos e padrões por trás de atitudes e escolhas."
7,A_PROPHECY,CHARACTERISTIC,P2,false,1,true,"Fico entristecido com o pecado do povo e me identifico com sua necessidade de arrependimento."
8,A_PROPHECY,CHARACTERISTIC,P2,false,1,true,"Vejo assuntos em termos de certo e errado, sem tons de cinza morais."
9,A_PROPHECY,CHARACTERISTIC,P3,false,1,true,"Procuro evidências externas de convicção interna (frutos de arrependimento)."
10,A_PROPHECY,CHARACTERISTIC,P3,false,1,true,"Busco quebrantamento pessoal antes de conclamar outros ao quebrantamento."
11,A_PROPHECY,CHARACTERISTIC,P1,false,1,true,"Zelo pela reputação de Deus e pela pureza da Igreja."
12,A_PROPHECY,DANGER,P1,true,1,true,"Tendo oportunidade de pregar, priorizo parecer brilhante em vez de depender do Espírito."
13,A_PROPHECY,DANGER,P2,true,1,true,"Confio tanto na minha lógica e retórica que descuido da oração e preparação humilde."
14,A_PROPHECY,DANGER,P2,true,1,true,"Enxergo pessoas mais como ‘plateia’ do que como indivíduos com necessidades reais."
15,A_PROPHECY,DANGER,P1,true,1,true,"Busco falar em público para ser reconhecido, não para edificar."
16,A_PROPHECY,MISUNDERSTANDING,P2,true,1,true,"Costumo impor padrões sem sensibilidade, criando distância nos relacionamentos."
17,A_PROPHECY,MISUNDERSTANDING,P3,true,1,true,"Ajo de modo tão binário que pareço intolerante a nuances legítimas."
18,A_PROPHECY,OTHER,P2,false,1,true,"Ao corrigir, procuro unir verdade e amor, evitando ferir desnecessariamente."
19,A_PROPHECY,OTHER,P3,false,1,true,"Antes de exortar, busco ouvir e compreender o contexto da pessoa."
20,B_SERVICE,QUALITY,P1,false,1,true,"Percebo necessidades práticas rapidamente e me movo para supri‑las sem ser solicitado."
21,B_SERVICE,QUALITY,P1,false,1,true,"Sinto alegria genuína em servir nos bastidores para que outros floresçam."
22,B_SERVICE,QUALITY,P2,false,1,true,"Tenho disposição para trabalhos manuais e tarefas que exigem esforço."
23,B_SERVICE,QUALITY,P1,false,1,true,"Sou constante e confiável no cumprimento de responsabilidades."
24,B_SERVICE,QUALITY,P2,false,1,true,"Disponibilizo recursos próprios para evitar atrasos quando há uma necessidade legítima."
25,B_SERVICE,CHARACTERISTIC,P2,false,1,true,"Gosto de concluir tarefas e me sinto incomodado quando algo fica inacabado."
26,B_SERVICE,CHARACTERISTIC,P2,false,1,true,"Recordo preferências e detalhes que ajudam a servir melhor as pessoas."
27,B_SERVICE,CHARACTERISTIC,P3,false,1,true,"Prefiro metas presentes e tangíveis a objetivos excessivamente distantes."
28,B_SERVICE,CHARACTERISTIC,P2,false,1,true,"Peço instruções claras para executar com excelência."
29,B_SERVICE,CHARACTERISTIC,P3,false,1,true,"Aprecio colaborar sob liderança, sem necessidade de protagonismo."
30,B_SERVICE,CHARACTERISTIC,P2,false,1,true,"Organizo ferramentas e materiais para facilitar o serviço contínuo."
31,B_SERVICE,DANGER,P1,true,1,true,"Assumo mais tarefas do que consigo cumprir, por dificuldade de dizer não."
32,B_SERVICE,DANGER,P2,true,1,true,"Fico irritado quando meu serviço é atrapalhado por complicações ‘desnecessárias’."
33,B_SERVICE,DANGER,P2,true,1,true,"Valorizo tanto o fazer que ignoro as pessoas e seus sentimentos."
34,B_SERVICE,DANGER,P1,true,1,true,"Sirvo esperando reconhecimento e fico magoado quando não recebo agradecimento."
35,B_SERVICE,MISUNDERSTANDING,P3,true,1,true,"Insisto tanto em ajudar que pareço não aberto a também ser ajudado."
36,B_SERVICE,MISUNDERSTANDING,P2,true,1,true,"Ao suprir rápido, posso impedir lições que Deus quer ensinar à pessoa."
37,B_SERVICE,OTHER,P2,false,1,true,"Procuro equilibrar serviço prático com oração e cuidado espiritual."
38,B_SERVICE,OTHER,P3,false,1,true,"Busco comunicar limites saudáveis para servir com qualidade e constância."
39,C_TEACHING,QUALITY,P1,false,1,true,"Aproximo‑me do texto bíblico com rigor, buscando o sentido pretendido pelo autor."
40,C_TEACHING,QUALITY,P1,false,1,true,"Organizo conteúdos de modo sistemático e progressivo."
41,C_TEACHING,QUALITY,P1,false,1,true,"Valorizo a precisão de termos e contextos nas passagens bíblicas."
42,C_TEACHING,QUALITY,P2,false,1,true,"Confirmo ideias novas por meio de princípios bíblicos sólidos."
43,C_TEACHING,QUALITY,P1,false,1,true,"Busco aplicar o ensino à vida, não apenas transmitir informação."
44,C_TEACHING,CHARACTERISTIC,P2,false,1,true,"Sinto prazer em pesquisar e preparar materiais que beneficiem outros mestres e pregadores."
45,C_TEACHING,CHARACTERISTIC,P2,false,1,true,"Questiono afirmações sem base e procuro evidências confiáveis."
46,C_TEACHING,CHARACTERISTIC,P2,false,1,true,"Evito usar textos fora de contexto para ilustrar pontos."
47,C_TEACHING,CHARACTERISTIC,P3,false,1,true,"Aprofundo‑me mais na pesquisa do que na apresentação em si."
48,C_TEACHING,CHARACTERISTIC,P2,false,1,true,"Transformo conhecimento em passos práticos para a vida cristã."
49,C_TEACHING,CHARACTERISTIC,P3,false,1,true,"Antevejo dúvidas dos ouvintes e as abordo no preparo."
50,C_TEACHING,DANGER,P1,true,1,true,"Sinto-me superior por meu conhecimento e desmereço quem sabe menos."
51,C_TEACHING,DANGER,P2,true,1,true,"Acumulo informação e adio decisões por esperar ‘ter todos os dados’."
52,C_TEACHING,DANGER,P2,true,1,true,"Concentro-me tanto em conteúdo que esqueço necessidades dos alunos."
53,C_TEACHING,DANGER,P3,true,1,true,"Uso detalhes técnicos desnecessários que tornam a aula árida."
54,C_TEACHING,MISUNDERSTANDING,P2,true,1,true,"Minha busca por precisão parece frieza ou pouca aplicação prática."
55,C_TEACHING,MISUNDERSTANDING,P3,true,1,true,"Ao provar posições, pareço orgulhoso ou combativo demais."
56,C_TEACHING,OTHER,P2,false,1,true,"Incluo exemplos e estudos de caso que iluminam o princípio bíblico."
57,C_TEACHING,OTHER,P3,false,1,true,"Peço feedback dos alunos para ajustar ritmo e clareza."
58,D_EXHORTATION,QUALITY,P1,false,1,true,"Ajudo pessoas a definirem passos práticos rumo à maturidade espiritual."
59,D_EXHORTATION,QUALITY,P1,false,1,true,"Vejo na tribulação oportunidades de crescimento e comunico essa esperança."
60,D_EXHORTATION,QUALITY,P1,false,1,true,"Procuro alinhar conselhos com a Escritura e com a situação real da pessoa."
61,D_EXHORTATION,QUALITY,P2,false,1,true,"Acompanho quem aconselho e celebro pequenos avanços."
62,D_EXHORTATION,QUALITY,P2,false,1,true,"Estimulo a fé de pessoas desanimadas com ânimo e realismo."
63,D_EXHORTATION,CHARACTERISTIC,P2,false,1,true,"Sou acessível e aberto, gerando confiança para conversas profundas."
64,D_EXHORTATION,CHARACTERISTIC,P2,false,1,true,"Percebo quando alguém está receptivo e disposto a agir."
65,D_EXHORTATION,CHARACTERISTIC,P3,false,1,true,"Trago à memória princípios úteis a partir de experiências humanas validadas pela Bíblia."
66,D_EXHORTATION,CHARACTERISTIC,P2,false,1,true,"Faço perguntas que ajudam a pessoa a enxergar possibilidades e próximos passos."
67,D_EXHORTATION,CHARACTERISTIC,P3,false,1,true,"Procuro equilibrar encorajamento, confronto e intercessão."
68,D_EXHORTATION,CHARACTERISTIC,P2,false,1,true,"Procuro clareza de metas e prazos para manter o foco do aconselhando."
69,D_EXHORTATION,DANGER,P2,true,1,true,"Dou tantos conselhos que a pessoa não pensa nem decide por si."
70,D_EXHORTATION,DANGER,P1,true,1,true,"Fico impaciente quando a pessoa muda devagar ou recai."
